District,Date,AQI
Attock,2/12/2024,361.0586984
Attock,2/13/2024,167.8288288
Attock,2/14/2024,175.5340702
Attock,2/15/2024,241.0317817
Attock,2/16/2024,258.7845031
Attock,2/17/2024,238.666217
Attock,2/18/2024,171.2512567
Attock,2/19/2024,121.3101129
Attock,2/20/2024,189.6176012
Attock,2/21/2024,211.9751152
Attock,2/22/2024,144.4582622
Attock,2/23/2024,153.5365038
Attock,2/24/2024,177.2252052
Attock,2/25/2024,197.4550207
Attock,2/26/2024,89.13289278
Attock,2/27/2024,106.1743022
Attock,2/28/2024,120.719141
Attock,2/29/2024,100.0008591
Attock,3/1/2024,160.6584323
Attock,3/2/2024,67.91400188
Attock,3/3/2024,60.48721193
Attock,3/4/2024,142.7374217
Attock,3/5/2024,187.8172634
Attock,3/6/2024,248.1803672
Attock,3/7/2024,233.9057813
Attock,3/8/2024,93.88256998
Attock,3/9/2024,160.0609554
Attock,3/10/2024,257.4675747
Attock,3/11/2024,159.1814555
Attock,3/12/2024,146.5537136
Attock,3/13/2024,132.4888528
Attock,3/14/2024,96.44753801
Attock,3/15/2024,122.6870472
Attock,3/16/2024,128.8184531
Attock,3/17/2024,111.3219044
Attock,3/18/2024,159.8207462
Attock,3/19/2024,178.8801207
Attock,3/20/2024,166.8576788
Attock,3/21/2024,92.6412194
Attock,3/22/2024,133.382189
Attock,3/23/2024,164.6491447
Attock,3/24/2024,161.4081698
Attock,3/25/2024,100.0118897
Attock,3/26/2024,112.0297065
Attock,3/27/2024,94.93455744
Attock,3/28/2024,188.3494814
Attock,3/29/2024,107.6617632
Attock,3/30/2024,78.86600113
Attock,3/31/2024,127.0364677
Attock,4/1/2024,104.6249613
Attock,4/2/2024,146.67229
Attock,4/3/2024,106.9774165
Attock,4/4/2024,53.58280615
Attock,4/5/2024,142.3712984
Attock,4/6/2024,69.84997382
Attock,4/7/2024,127.949784
Attock,4/8/2024,135.2791098
Attock,4/9/2024,88.88674653
Attock,4/10/2024,76.82649098
Attock,4/11/2024,84.09743513
Attock,4/12/2024,76.58205025
Attock,4/13/2024,127.0366612
Attock,4/14/2024,160.624332
Attock,4/15/2024,117.4865227
Attock,4/16/2024,70.91573293
Attock,4/17/2024,231.9796105
Attock,4/18/2024,81.03729127
Attock,4/19/2024,68.96464678
Attock,4/20/2024,66.40241365
Attock,4/21/2024,175.6220507
Attock,4/22/2024,192.4323853
Attock,4/23/2024,143.7888675
Attock,4/24/2024,193.0166624
Attock,4/25/2024,71.39594208
Attock,4/26/2024,66.68100721
Attock,4/27/2024,78.8502906
Attock,4/28/2024,45.24096354
Attock,4/29/2024,69.51556358
Attock,4/30/2024,111.2097664
Attock,5/1/2024,169.1587232
Attock,5/2/2024,101.1966583
Attock,5/3/2024,126.007284
Attock,5/4/2024,56.64040625
Attock,5/5/2024,99.20563957
Attock,5/6/2024,90.11458933
Attock,5/7/2024,147.3042594
Attock,5/8/2024,162.1406186
Attock,5/9/2024,167.3921681
Attock,5/10/2024,77.75125968
Attock,5/11/2024,109.4489456
Attock,5/12/2024,146.1573339
Attock,5/13/2024,82.65623425
Attock,5/14/2024,117.6360088
Attock,5/15/2024,114.7378049
Attock,5/16/2024,84.73022575
Attock,5/17/2024,93.21139554
Attock,5/18/2024,95.59048332
Attock,5/19/2024,58.20644256
Attock,5/20/2024,109.6613264
Attock,5/21/2024,74.34664823
Attock,5/22/2024,105.1261193
Attock,5/23/2024,45.00759783
Attock,5/24/2024,60.39489112
Attock,5/25/2024,52.23242891
Attock,5/26/2024,43.3562653
Attock,5/27/2024,90.98666353
Attock,5/28/2024,29.31536288
Attock,5/29/2024,100.1179821
Attock,5/30/2024,68.88264594
Attock,5/31/2024,98.1143817
Attock,6/1/2024,122.3804105
Attock,6/2/2024,151.7307932
Attock,6/3/2024,79.17175436
Attock,6/4/2024,170.6425116
Attock,6/5/2024,90.35934457
Attock,6/6/2024,71.9741135
Attock,6/7/2024,71.99795658
Attock,6/8/2024,59.60113248
Attock,6/9/2024,105.5081926
Attock,6/10/2024,99.01284479
Attock,6/11/2024,118.7818122
Attock,6/12/2024,68.88309154
Attock,6/13/2024,149.022015
Attock,6/14/2024,119.4515966
Attock,6/15/2024,123.2848053
Attock,6/16/2024,102.4448711
Attock,6/17/2024,137.8457106
Attock,6/18/2024,113.4704154
Attock,6/19/2024,111.4300199
Attock,6/20/2024,118.8567488
Attock,6/21/2024,180.4968522
Attock,6/22/2024,90.41901487
Attock,6/23/2024,149.4181344
Attock,6/24/2024,90.82799575
Attock,6/25/2024,82.64479009
Attock,6/26/2024,161.2920878
Attock,6/27/2024,169.0269159
Attock,6/28/2024,131.0851293
Attock,6/29/2024,109.8276972
Attock,6/30/2024,94.18944897
Attock,7/1/2024,113.2587941
Attock,7/2/2024,93.17494247
Attock,7/3/2024,62.70984945
Attock,7/4/2024,60.21696637
Attock,7/5/2024,55.69414476
Attock,7/6/2024,61.20102529
Attock,7/7/2024,177.1757627
Attock,7/8/2024,159.4713569
Attock,7/9/2024,196.7365674
Attock,7/10/2024,106.4605647
Attock,7/11/2024,101.8256377
Attock,7/12/2024,152.1570639
Attock,7/13/2024,88.01016765
Attock,7/14/2024,141.7632979
Attock,7/15/2024,106.8929829
Attock,7/16/2024,105.37368
Attock,7/17/2024,128.6400064
Attock,7/18/2024,82.33529854
Attock,7/19/2024,130.714106
Attock,7/20/2024,120.9084459
Attock,7/21/2024,103.8607817
Attock,7/22/2024,124.5279992
Attock,7/23/2024,128.9449771
Attock,7/24/2024,208.7896148
Attock,7/25/2024,166.352813
Attock,7/26/2024,107.9365872
Attock,7/27/2024,80.83465826
Attock,7/28/2024,188.0418076
Attock,7/29/2024,159.1372092
Attock,7/30/2024,180.9344065
Attock,7/31/2024,160.6567362
Attock,8/1/2024,127.2251191
Attock,8/2/2024,140.5925654
Attock,8/3/2024,38.5288202
Attock,8/4/2024,73.4525934
Attock,8/5/2024,110.5495255
Attock,8/6/2024,74.01641614
Attock,8/7/2024,69.188381
Attock,8/8/2024,64.99959802
Attock,8/9/2024,108.9964393
Attock,8/10/2024,81.07680589
Attock,8/11/2024,81.02269487
Attock,8/12/2024,122.5718194
Attock,8/13/2024,139.8619909
Attock,8/14/2024,98.82986154
Attock,8/15/2024,76.85131302
Attock,8/16/2024,161.9357278
Attock,8/17/2024,130.1981487
Attock,8/18/2024,92.82389373
Attock,8/19/2024,113.5808821
Attock,8/20/2024,113.1685397
Attock,8/21/2024,123.8982095
Attock,8/22/2024,176.1024327
Attock,8/23/2024,183.139305
Attock,8/24/2024,242.7675972
Attock,8/25/2024,268.0095499
Attock,8/26/2024,138.4647305
Attock,8/27/2024,104.9152135
Attock,8/28/2024,75.54736408
Attock,8/29/2024,113.6560382
Attock,8/30/2024,56.83813439
Attock,8/31/2024,175.3765393
Attock,9/1/2024,133.4219089
Attock,9/2/2024,108.742127
Attock,9/3/2024,211.0895009
Attock,9/4/2024,101.2904672
Attock,9/5/2024,180.7541456
Attock,9/6/2024,248.0377375
Attock,9/7/2024,217.3919651
Attock,9/8/2024,188.9087172
Attock,9/9/2024,162.9447769
Attock,9/10/2024,201.0826025
Attock,9/11/2024,135.3210703
Attock,9/12/2024,94.64774117
Attock,9/13/2024,154.9940459
Attock,9/14/2024,162.2972278
Attock,9/15/2024,155.3582448
Attock,9/16/2024,219.1721439
Attock,9/17/2024,182.9274771
Attock,9/18/2024,193.1390144
Attock,9/19/2024,116.6157181
Attock,9/20/2024,161.947225
Attock,9/21/2024,154.7711786
Attock,9/22/2024,149.4121662
Attock,9/23/2024,113.3367897
Attock,9/24/2024,205.7639227
Attock,9/25/2024,172.1232192
Attock,9/26/2024,108.2433358
Attock,9/27/2024,169.0543536
Attock,9/28/2024,189.0644944
Attock,9/29/2024,106.7553271
Attock,9/30/2024,139.2275663
Attock,10/1/2024,156.4661977
Attock,10/2/2024,177.4929275
Attock,10/3/2024,201.6053054
Attock,10/4/2024,177.5995772
Attock,10/5/2024,162.5768879
Attock,10/6/2024,190.3522587
Attock,10/7/2024,83.21129555
Attock,10/8/2024,65.41236852
Attock,10/9/2024,137.7850486
Attock,10/10/2024,125.8895802
Attock,10/11/2024,196.058296
Attock,10/12/2024,182.5293694
Attock,10/13/2024,213.5376216
Attock,10/14/2024,196.9955913
Attock,10/15/2024,198.4619313
Attock,10/16/2024,200.1673178
Attock,10/17/2024,185.0011901
Attock,10/18/2024,227.0086408
Attock,10/19/2024,239.0152038
Attock,10/20/2024,223.0194759
Attock,10/21/2024,204.9856664
Attock,10/22/2024,148.5311066
Attock,10/23/2024,178.9117858
Attock,10/24/2024,102.7068876
Attock,10/25/2024,176.8237483
Attock,10/26/2024,214.6295518
Attock,10/27/2024,319.3445918
Attock,10/28/2024,127.0244821
Attock,10/29/2024,119.4217563
Attock,10/30/2024,223.2945075
Attock,10/31/2024,202.2678071
Attock,11/1/2024,184.8961578
Attock,11/2/2024,310.8873956
Attock,11/3/2024,237.184376
Attock,11/4/2024,284.7019139
Attock,11/5/2024,338.3506005
Attock,11/6/2024,266.9468192
Attock,11/7/2024,402.7355813
Attock,11/8/2024,366.0167967
Attock,11/9/2024,282.2509146
Attock,11/10/2024,274.2240246
Attock,11/11/2024,143.9178025
Attock,11/12/2024,232.9957183
Attock,11/13/2024,305.1224419
Attock,11/14/2024,175.1084522
Attock,11/15/2024,113.7713887
Attock,11/16/2024,127.9249815
Attock,11/17/2024,207.9856946
Attock,11/18/2024,240.8883082
Attock,11/19/2024,269.6449223
Attock,11/20/2024,284.8716485
Attock,11/21/2024,310.2444658
Attock,11/22/2024,373.3765734
Attock,11/23/2024,281.8857248
Attock,11/24/2024,294.3836647
Attock,11/25/2024,248.774288
Attock,11/26/2024,320.309606
Attock,11/27/2024,299.6529841
Attock,11/28/2024,329.7920301
Attock,11/29/2024,313.8479977
Attock,11/30/2024,282.8247801
Attock,12/1/2024,168.8014973
Attock,12/2/2024,222.6218726
Attock,12/3/2024,266.9673732
Attock,12/4/2024,302.7490748
Attock,12/5/2024,297.5223784
Attock,12/6/2024,254.761431
Attock,12/7/2024,365.1410202
