District,PM10,PM2.5,Carbon Monoxide,Nitrogen Dioxide,Sulphur Dioxide,Ozone,Dust,Final_AQI,Date
Rahim Yar Khan,47.27161458333333,27.428385416666668,323.4010416666667,3.1536458333333335,6.627083333333334,93.12239583333333,22.1796875,62.57208333333333,2024-02-25
Rahim Yar Khan,72.68151041666667,42.521875,345.9348958333333,3.188541666666667,9.69375,96.70052083333333,34.458333333333336,76.2349609375,2024-02-26
Rahim Yar Khan,71.62838541666666,39.58645833333333,410.4296875,4.85,6.765625,90.1171875,37.979166666666664,81.16141927083333,2024-02-27
Rahim Yar Khan,61.94114583333334,38.62838541666667,571.7682291666666,8.880208333333334,8.316927083333333,87.140625,17.3984375,94.0669140625,2024-02-28
Rahim Yar Khan,49.43697916666667,25.141927083333332,326.5963541666667,2.944270833333333,7.795833333333333,104.11197916666667,37.21875,64.79772135416667,2024-02-29
Rahim Yar Khan,68.42864583333333,34.711979166666666,362.6901041666667,4.746354166666666,6.033854166666667,87.5078125,49.557291666666664,74.59815104166667,2024-03-01
Rahim Yar Khan,62.54088541666667,15.105989583333333,202.328125,2.1080729166666665,3.5,91.66927083333333,110.72135416666667,55.01373697916667,2024-03-02
Rahim Yar Khan,55.93802083333333,18.098177083333333,233.30989583333334,3.862239583333333,4.10546875,75.1640625,84.96875,54.594765625,2024-03-03
Rahim Yar Khan,44.2359375,23.79375,339.5442708333333,4.211979166666667,5.162760416666667,77.37760416666667,30.200520833333332,61.357708333333335,2024-03-04
Rahim Yar Khan,63.43802083333333,38.36354166666667,511.8932291666667,8.775520833333333,8.55234375,76.36197916666667,23.932291666666668,87.64408854166668,2024-03-05
Rahim Yar Khan,62.13046875,30.403125,347.1458333333333,5.151041666666667,8.869791666666666,84.30208333333333,50.768229166666664,70.47623697916667,2024-03-06
Rahim Yar Khan,61.89609375,33.36276041666667,372.71875,4.879427083333334,7.345052083333333,89.02864583333333,36.888020833333336,73.3002734375,2024-03-07
Rahim Yar Khan,57.97864583333333,33.790104166666666,458.875,7.28046875,6.989322916666667,87.109375,24.515625,80.55740885416667,2024-03-08
Rahim Yar Khan,71.14947916666667,40.57864583333333,519.0703125,8.599739583333333,8.188020833333333,90.75520833333333,32.411458333333336,92.64391927083334,2024-03-09
Rahim Yar Khan,61.250781249999996,34.36119791666667,382.4244791666667,5.222916666666666,8.575260416666667,92.87760416666667,27.932291666666668,74.47078125,2024-03-10
Rahim Yar Khan,68.72369791666667,34.66354166666667,338.1484375,4.21484375,8.637760416666667,89.93489583333333,50.747395833333336,72.688515625,2024-03-11
Rahim Yar Khan,66.64895833333334,31.671875,334.328125,5.527864583333333,7.948958333333334,90.43489583333333,57.549479166666664,71.55805989583334,2024-03-12
Rahim Yar Khan,71.27890625,23.983072916666668,220.9296875,3.283072916666667,4.9624999999999995,84.703125,109.984375,60.866705729166675,2024-03-13
Rahim Yar Khan,58.166406249999994,29.711458333333336,323.8645833333333,3.84140625,7.334635416666667,89.81510416666667,47.213541666666664,67.00778645833334,2024-03-14
Rahim Yar Khan,63.981770833333336,32.79140625,427.1614583333333,7.175260416666667,6.337239583333333,84.640625,44.950520833333336,79.33104166666668,2024-03-15
Rahim Yar Khan,37.95494791666667,21.34765625,349.4973958333333,5.9328125,5.1773437499999995,83.94791666666667,20.046875,60.58018229166667,2024-03-16
Rahim Yar Khan,32.58385416666667,19.892968749999998,387.9583333333333,6.807291666666667,5.027083333333334,86.23697916666667,10.734375,62.59925781250001,2024-03-17
Rahim Yar Khan,44.74270833333333,22.565104166666668,319.6015625,4.7906249999999995,7.908333333333334,93.43229166666667,32.059895833333336,61.24276041666667,2024-03-18
Rahim Yar Khan,46.71901041666666,24.614322916666666,373.2604166666667,5.155989583333333,6.79375,95.125,30.533854166666668,67.65134114583334,2024-03-19
Rahim Yar Khan,49.053906250000004,27.095312500000002,414.4869791666667,7.227864583333333,5.705729166666667,90.86458333333333,26.541666666666668,72.554296875,2024-03-20
Rahim Yar Khan,62.819010416666664,26.44921875,335.2291666666667,4.98046875,7.574479166666666,91.73958333333333,68.27864583333333,69.9323828125,2024-03-21
Rahim Yar Khan,94.55859375,46.67395833333333,457.90625,5.033333333333333,9.488802083333333,103.81510416666667,70.66666666666667,96.71748697916667,2024-03-22
Rahim Yar Khan,90.77109374999999,38.880208333333336,457.1484375,7.073177083333333,7.104166666666667,92.25,88.9921875,93.573671875,2024-03-23
Rahim Yar Khan,80.49114583333333,35.18776041666667,368.1145833333333,3.62890625,6.65703125,100.234375,78.25260416666667,80.87729166666666,2024-03-24
Rahim Yar Khan,83.01354166666667,34.97317708333333,437.8359375,7.6359375,6.4468749999999995,88.44791666666667,84.22916666666667,88.1266015625,2024-03-25
Rahim Yar Khan,80.95130208333333,34.19869791666667,375.9479166666667,5.45625,9.077083333333333,86.46354166666667,86.171875,81.06338541666666,2024-03-26
Rahim Yar Khan,72.82135416666667,33.17578125,287.1458333333333,2.8914062499999997,8.226041666666667,105.19791666666667,71.1640625,70.54817708333333,2024-03-27
Rahim Yar Khan,60.884375,31.080729166666668,311.9713541666667,4.85078125,7.381770833333333,85.15104166666667,47.669270833333336,66.5527734375,2024-03-28
Rahim Yar Khan,64.07369791666666,23.53515625,281.1041666666667,4.115104166666667,6.053385416666667,89.01302083333333,83.63541666666667,64.31830729166667,2024-03-29
Rahim Yar Khan,71.34348958333334,25.899479166666666,305.5494791666667,4.8015625,7.532552083333333,92.72395833333333,96.08333333333333,70.4157421875,2024-03-30
Rahim Yar Khan,55.58958333333334,21.96666666666667,283.0807291666667,4.3726562499999995,6.1859375000000005,96.39322916666667,68.83854166666667,62.05287760416667,2024-03-31
Rahim Yar Khan,63.555989583333336,22.823958333333334,284.4244791666667,5.9867187500000005,8.010677083333333,98.65625,83.23958333333333,65.76411458333334,2024-04-01
Rahim Yar Khan,69.64999999999999,26.3828125,351.53125,7.990885416666667,6.301302083333333,90.6875,87.22916666666667,74.42029947916667,2024-04-02
Rahim Yar Khan,74.68984375000001,29.42578125,354.1744791666667,7.075260416666667,6.811197916666667,96.0,89.359375,77.25673177083333,2024-04-03
Rahim Yar Khan,67.76380208333333,28.440625,319.9270833333333,4.5921875000000005,8.203645833333333,110.82552083333333,71.4375,72.20743489583333,2024-04-04
Rahim Yar Khan,57.98802083333334,26.136979166666666,391.4583333333333,7.395572916666667,6.620833333333334,100.45052083333333,54.799479166666664,74.73352864583333,2024-04-05
Rahim Yar Khan,52.64088541666666,22.432291666666668,342.6614583333333,7.466927083333334,5.065625,95.1796875,54.356770833333336,66.89684895833334,2024-04-06
Rahim Yar Khan,48.381510416666664,19.047135416666666,301.3984375,7.176041666666666,5.084895833333333,91.90364583333333,57.828125,60.663671875000006,2024-04-07
Rahim Yar Khan,45.50234375,18.392447916666665,317.6614583333333,6.263802083333334,5.111197916666667,100.109375,52.833333333333336,61.84313802083333,2024-04-08
Rahim Yar Khan,48.86510416666667,20.425,320.1927083333333,6.1039062500000005,5.8656250000000005,100.70833333333333,55.830729166666664,63.70631510416667,2024-04-09
Rahim Yar Khan,49.606770833333336,20.695833333333333,300.53125,5.8179687499999995,5.1171875,99.77864583333333,55.731770833333336,61.77764322916667,2024-04-10
Rahim Yar Khan,58.99947916666667,29.02421875,366.140625,4.735677083333333,7.131770833333333,115.10677083333333,45.723958333333336,73.84039062500001,2024-04-11
Rahim Yar Khan,95.01666666666667,34.963802083333334,304.0703125,3.7895833333333333,5.780989583333334,116.75260416666667,113.87239583333333,81.41756510416667,2024-04-12
Rahim Yar Khan,76.12942708333334,35.302083333333336,257.8932291666667,2.47890625,4.9171875,116.0546875,66.375,69.43497395833333,2024-04-13
Rahim Yar Khan,100.05286458333335,45.25833333333333,338.6015625,5.933854166666666,5.5203125,90.55729166666667,88.28125,85.09985677083334,2024-04-14
Rahim Yar Khan,53.62708333333333,24.33125,270.9713541666667,4.700260416666667,6.720052083333333,88.6015625,52.885416666666664,59.468190104166666,2024-04-15
Rahim Yar Khan,47.98229166666667,25.727604166666666,335.3854166666667,5.840104166666666,5.761197916666667,102.1796875,32.5,65.26111979166667,2024-04-16
Rahim Yar Khan,73.26640625,27.877604166666668,338.984375,9.692708333333334,7.227083333333333,82.26302083333333,92.45833333333333,74.21027343749999,2024-04-17
Rahim Yar Khan,104.75078125,27.93359375,182.953125,2.8000000000000003,4.527864583333334,91.27604166666667,187.92447916666666,70.86302083333334,2024-04-18
Rahim Yar Khan,65.04739583333334,26.563541666666666,273.8932291666667,5.438802083333333,5.883072916666666,95.43229166666667,79.51041666666667,65.21493489583334,2024-04-19
Rahim Yar Khan,40.018489583333334,20.215104166666666,263.5520833333333,4.848958333333333,6.169270833333333,97.0859375,34.5546875,54.19420572916667,2024-04-20
Rahim Yar Khan,44.09322916666667,20.411979166666665,301.2057291666667,7.1820312500000005,5.2015625000000005,93.29166666666667,42.6171875,59.304361979166664,2024-04-21
Rahim Yar Khan,39.74817708333333,18.821354166666666,250.41666666666666,4.986979166666667,7.026302083333333,100.09114583333333,35.4453125,52.91610677083333,2024-04-22
Rahim Yar Khan,30.474999999999998,15.821614583333334,274.8463541666667,5.034895833333334,7.091145833333333,105.63802083333333,22.421875,52.20803385416667,2024-04-23
Rahim Yar Khan,25.484895833333336,14.452083333333334,269.1927083333333,5.165885416666667,3.1486979166666664,111.18489583333333,12.684895833333334,49.74600260416667,2024-04-24
Rahim Yar Khan,38.321614583333336,17.797916666666666,261.53125,5.096614583333333,5.241927083333334,113.3671875,36.302083333333336,54.623515625,2024-04-25
Rahim Yar Khan,53.061718750000004,23.934375,258.4921875,4.405989583333334,7.17109375,112.24739583333333,50.653645833333336,60.233671875,2024-04-26
Rahim Yar Khan,59.17916666666667,21.99921875,225.16927083333334,4.682552083333333,5.456770833333334,103.36979166666667,79.74479166666667,58.383802083333336,2024-04-27
Rahim Yar Khan,79.66067708333334,21.40625,206.796875,4.606770833333333,4.284635416666666,98.484375,139.45833333333334,63.88725260416667,2024-04-28
Rahim Yar Khan,77.27265625,19.919791666666665,207.74479166666666,4.070572916666666,4.4015625,107.49739583333333,142.45572916666666,63.995859375,2024-04-29
Rahim Yar Khan,57.80052083333334,22.34947916666667,262.9088541666667,5.656510416666666,5.86328125,109.21875,73.53645833333333,62.361888020833334,2024-04-30
Rahim Yar Khan,41.08984375,20.970572916666665,301.3177083333333,8.60078125,4.516145833333334,102.04947916666667,31.635416666666668,59.17532552083333,2024-05-01
Rahim Yar Khan,37.231770833333336,17.9296875,291.2786458333333,9.14296875,3.970572916666667,97.203125,32.598958333333336,56.036992187500005,2024-05-02
Rahim Yar Khan,104.03281249999999,30.559375,283.9401041666667,6.126822916666666,8.417447916666667,106.5234375,174.87760416666666,83.19904947916667,2024-05-03
Rahim Yar Khan,81.77239583333333,32.069531250000004,307.9010416666667,5.511979166666666,8.075520833333334,117.5,101.04166666666667,77.68701822916667,2024-05-04
Rahim Yar Khan,90.99869791666667,31.07109375,309.9947916666667,7.39921875,6.512760416666667,102.91927083333333,129.10416666666666,80.02522135416667,2024-05-05
Rahim Yar Khan,72.09583333333333,24.963541666666668,315.5963541666667,10.621614583333335,4.500520833333334,95.015625,106.53125,72.6958984375,2024-05-06
