District,Time,AQI,PM10,PM2.5,Carbon_Monoxide,Nitrogen_Dioxide,Sulphur_Dioxide,Ozone,Dust
Rahim Yar Khan,2024-11-05 08:00,91.185,55.3,34.0,519.0,1.6,16.3,148.0,13.0
Rahim Yar Khan,2024-11-05 09:00,82.205,50.2,30.9,445.0,2.0,16.7,152.0,12.0
Rahim Yar Khan,2024-11-05 10:00,79.48,46.0,28.1,440.0,4.1,16.5,145.0,13.0
Rahim Yar Khan,2024-11-05 11:00,80.78000000000002,44.5,27.2,469.0,7.7,15.7,134.0,16.0
Rahim Yar Khan,2024-11-05 12:00,99.91000000000001,83.8,50.2,510.0,10.4,14.1,128.0,19.0
Rahim Yar Khan,2024-11-05 13:00,109.625,94.5,57.9,568.0,11.9,14.2,120.0,18.0
Rahim Yar Khan,2024-11-05 14:00,117.4,97.8,61.2,639.0,17.3,14.4,109.0,16.0
Rahim Yar Khan,2024-11-05 15:00,121.78,99.7,63.1,737.0,20.8,14.3,99.0,14.0
Rahim Yar Khan,2024-11-05 16:00,126.375,102.4,65.0,759.0,19.7,13.7,91.0,14.0
Rahim Yar Khan,2024-11-05 17:00,132.66,105.9,67.3,790.0,16.2,12.8,86.0,14.0
Rahim Yar Khan,2024-11-05 18:00,135.57,108.0,68.7,810.0,13.2,12.0,85.0,14.0
Rahim Yar Khan,2024-11-05 19:00,133.83499999999998,107.6,68.2,796.0,12.0,11.5,83.0,14.0
Rahim Yar Khan,2024-11-05 20:00,129.975,108.7,68.9,759.0,11.1,11.1,80.0,14.0
Rahim Yar Khan,2024-11-05 21:00,126.88000000000001,110.6,69.8,761.0,10.4,10.9,77.0,14.0
Rahim Yar Khan,2024-11-05 22:00,127.095,112.7,71.0,737.0,9.7,11.0,77.0,15.0
Rahim Yar Khan,2024-11-05 23:00,146.0,115.0,72.2,897.0,10.2,12.2,78.0,17.0
Rahim Yar Khan,2024-11-06 00:00,157.83,115.3,72.6,1019.0,10.2,10.7,70.0,15.0
Rahim Yar Khan,2024-11-06 01:00,160.285,119.0,74.7,1033.0,11.7,10.9,63.0,15.0
Rahim Yar Khan,2024-11-06 02:00,167.55,126.2,79.4,1081.0,13.7,11.3,58.0,16.0
Rahim Yar Khan,2024-11-06 03:00,169.33999999999997,131.3,82.7,1073.0,14.0,12.8,66.0,17.0
Rahim Yar Khan,2024-11-06 04:00,162.56,130.9,81.7,969.0,11.2,16.8,92.0,19.0
Rahim Yar Khan,2024-11-06 05:00,151.38000000000002,133.6,81.7,884.0,6.7,24.0,128.0,23.0
Rahim Yar Khan,2024-11-06 06:00,142.50000000000003,130.9,78.7,813.0,3.4,28.1,155.0,24.0
Rahim Yar Khan,2024-11-06 07:00,129.3,120.1,71.2,726.0,2.6,26.5,166.0,23.0
Rahim Yar Khan,2024-11-06 08:00,116.13499999999999,106.6,63.6,624.0,2.1,23.9,169.0,20.0
Rahim Yar Khan,2024-11-06 09:00,106.69999999999999,93.6,56.1,548.0,2.3,23.8,166.0,17.0
Rahim Yar Khan,2024-11-06 10:00,98.76,82.2,49.2,506.0,3.1,22.4,157.0,14.0
Rahim Yar Khan,2024-11-06 11:00,93.895,76.1,45.8,491.0,5.2,20.0,142.0,12.0
Rahim Yar Khan,2024-11-06 12:00,94.9,74.0,45.9,521.0,7.6,17.9,130.0,12.0
Rahim Yar Khan,2024-11-06 13:00,104.98500000000001,80.8,50.6,629.0,10.5,16.4,119.0,10.0
Rahim Yar Khan,2024-11-06 14:00,142.13,88.7,56.3,978.0,14.8,15.1,106.0,9.0
Rahim Yar Khan,2024-11-06 15:00,168.625,93.4,60.1,1230.0,17.9,13.8,96.0,9.0
Rahim Yar Khan,2024-11-06 16:00,173.53500000000003,93.1,60.3,1271.0,18.3,13.9,91.0,10.0
Rahim Yar Khan,2024-11-06 17:00,167.13,91.7,59.8,1204.0,17.8,14.9,89.0,10.0
Rahim Yar Khan,2024-11-06 18:00,163.43000000000004,88.7,58.0,1180.0,17.5,15.4,86.0,11.0
Rahim Yar Khan,2024-11-06 19:00,159.36500000000004,82.9,53.9,1211.0,16.0,14.9,81.0,11.0
Rahim Yar Khan,2024-11-06 20:00,150.39,78.9,51.3,1253.0,15.1,13.8,76.0,10.0
Rahim Yar Khan,2024-11-06 21:00,149.255,74.3,47.8,1244.0,13.9,13.5,72.0,10.0
Rahim Yar Khan,2024-11-06 22:00,139.935,70.3,45.4,1140.0,12.5,12.9,72.0,11.0
Rahim Yar Khan,2024-11-06 23:00,136.21,66.1,42.4,1002.0,11.6,12.0,72.0,12.0
Rajanpur,2024-11-05 00:00,119.92,57.2,36.3,953.0,16.7,8.5,92.0,13.0
Rajanpur,2024-11-05 01:00,120.91000000000001,56.0,35.9,952.0,15.8,12.4,91.0,14.0
Rajanpur,2024-11-05 02:00,121.315,58.7,38.3,969.0,14.4,18.3,89.0,15.0
Rajanpur,2024-11-05 03:00,131.275,64.3,40.0,1049.0,12.5,25.6,92.0,16.0
Rajanpur,2024-11-05 04:00,130.475,80.6,49.4,992.0,10.1,37.0,103.0,17.0
Rajanpur,2024-11-05 05:00,133.43,115.7,70.1,845.0,9.2,50.0,119.0,22.0
Rajanpur,2024-11-05 06:00,137.4,134.1,81.0,807.0,7.9,56.4,132.0,26.0
Rajanpur,2024-11-05 07:00,129.535,129.9,78.5,714.0,5.9,50.5,147.0,26.0
Rajanpur,2024-11-05 08:00,118.25000000000001,120.1,71.9,589.0,3.6,38.1,162.0,26.0
Rajanpur,2024-11-05 09:00,110.825,111.5,66.4,524.0,2.4,27.9,170.0,26.0
Rajanpur,2024-11-05 10:00,109.58999999999999,105.5,62.6,512.0,4.1,24.4,168.0,25.0
Rajanpur,2024-11-05 11:00,113.16000000000001,102.9,61.2,525.0,7.7,23.2,160.0,23.0
Rajanpur,2024-11-05 12:00,125.27,116.6,70.5,592.0,10.4,23.1,163.0,25.0
Rajanpur,2024-11-05 13:00,136.565,122.5,74.5,688.0,13.9,22.5,154.0,24.0
Rajanpur,2024-11-05 14:00,149.095,128.1,78.5,800.0,20.0,21.6,142.0,24.0
Rajanpur,2024-11-05 15:00,158.085,131.8,81.0,885.0,23.4,20.9,134.0,23.0
Rajanpur,2024-11-05 16:00,160.28,133.6,82.4,906.0,21.7,20.7,133.0,22.0
Rajanpur,2024-11-05 17:00,159.345,134.6,83.1,899.0,17.3,20.8,136.0,21.0
Rajanpur,2024-11-05 18:00,160.27,131.3,81.3,928.0,13.8,20.6,136.0,20.0
Rajanpur,2024-11-05 19:00,169.46000000000004,124.3,76.8,1059.0,12.5,19.9,130.0,18.0
Rajanpur,2024-11-05 20:00,181.82999999999998,116.4,71.5,1226.0,12.0,19.0,122.0,17.0
Rajanpur,2024-11-05 21:00,183.46,108.5,68.5,1288.0,11.9,18.0,114.0,15.0
Rajanpur,2024-11-05 22:00,165.21499999999995,110.4,69.2,1144.0,12.1,17.1,107.0,15.0
Rajanpur,2024-11-05 23:00,145.5,112.5,70.1,917.0,12.5,18.4,100.0,17.0
Rajanpur,2024-11-06 00:00,160.63000000000002,112.9,70.5,1047.0,12.2,18.7,98.0,17.0
Rajanpur,2024-11-06 01:00,166.48499999999999,117.1,72.9,1095.0,12.6,19.4,98.0,17.0
Rajanpur,2024-11-06 02:00,168.05,123.9,77.8,1086.0,13.7,20.6,98.0,16.0
Rajanpur,2024-11-06 03:00,165.64,129.0,80.8,1036.0,14.0,24.4,104.0,17.0
Rajanpur,2024-11-06 04:00,158.46000000000004,130.9,81.3,944.0,11.2,34.0,121.0,20.0
Rajanpur,2024-11-06 05:00,148.78,133.6,81.7,823.0,8.0,46.0,144.0,25.0
Rajanpur,2024-11-06 06:00,147.44500000000002,143.0,85.0,712.0,6.1,52.3,162.0,27.0
Rajanpur,2024-11-06 07:00,141.49499999999998,137.4,80.8,642.0,4.3,47.5,167.0,27.0
Rajanpur,2024-11-06 08:00,130.76500000000001,125.7,73.6,590.0,2.6,37.0,167.0,25.0
Rajanpur,2024-11-06 09:00,122.13499999999999,113.9,66.6,562.0,1.9,28.2,166.0,23.0
Rajanpur,2024-11-06 10:00,116.38500000000002,100.8,59.0,571.0,3.1,25.7,163.0,19.0
Rajanpur,2024-11-06 11:00,114.07000000000001,91.3,53.8,603.0,5.2,25.8,160.0,15.0
Rajanpur,2024-11-06 12:00,114.33499999999998,85.2,51.5,643.0,7.8,25.1,153.0,14.0
Rajanpur,2024-11-06 13:00,118.45,82.9,50.8,703.0,11.9,23.3,141.0,12.0
Rajanpur,2024-11-06 14:00,123.14000000000001,79.6,50.4,772.0,16.8,20.7,128.0,10.0
Rajanpur,2024-11-06 15:00,122.535,85.2,55.5,796.0,20.6,19.7,116.0,8.0
Rajanpur,2024-11-06 16:00,132.85,90.3,58.9,835.0,22.6,19.0,107.0,8.0
Rajanpur,2024-11-06 17:00,142.985,94.1,61.2,929.0,23.4,18.0,98.0,9.0
Rajanpur,2024-11-06 18:00,143.275,91.3,59.4,951.0,23.0,16.9,92.0,9.0
Rajanpur,2024-11-06 19:00,127.275,81.0,52.2,842.0,20.5,16.3,88.0,9.0
Rajanpur,2024-11-06 20:00,104.905,72.2,45.9,661.0,16.8,14.8,85.0,9.0
Rajanpur,2024-11-06 21:00,87.97,66.8,41.9,520.0,13.9,13.3,81.0,9.0
Rajanpur,2024-11-06 22:00,81.29,64.7,40.2,466.0,12.9,11.7,77.0,9.0
Rajanpur,2024-11-06 23:00,79.67000000000002,64.7,39.7,511.0,12.8,10.7,72.0,10.0
Rawalpindi,2024-11-05 00:00,112.17,65.4,45.8,799.0,23.0,8.2,54.0,0.0
Rawalpindi,2024-11-05 01:00,176.065,65.7,46.0,1531.0,27.9,7.7,44.0,0.0
Rawalpindi,2024-11-05 02:00,290.33,70.5,49.4,2645.0,41.6,7.1,32.0,1.0
Rawalpindi,2024-11-05 03:00,354.06,76.4,53.4,3229.0,49.2,7.8,36.0,1.0
Rawalpindi,2024-11-05 04:00,310.45000000000005,66.4,46.4,2744.0,41.8,14.3,73.0,2.0
Rawalpindi,2024-11-05 05:00,215.9,60.3,39.8,1728.0,26.7,23.2,129.0,5.0
Rawalpindi,2024-11-05 06:00,171.00500000000002,72.9,46.8,1198.0,15.0,29.6,179.0,7.0
Rawalpindi,2024-11-05 07:00,156.435,93.1,58.2,994.0,8.5,31.6,196.0,12.0
Rawalpindi,2024-11-05 08:00,144.785,113.4,69.6,890.0,5.4,31.2,197.0,18.0
Rawalpindi,2024-11-05 09:00,144.04500000000002,125.3,75.9,922.0,10.3,29.8,190.0,22.0
Rawalpindi,2024-11-05 10:00,224.64000000000001,130.4,78.5,1644.0,28.5,26.9,180.0,22.0
Rawalpindi,2024-11-05 11:00,348.12,130.4,79.4,2880.0,54.8,23.0,164.0,21.0
Rawalpindi,2024-11-05 12:00,464.37,149.5,92.9,3892.0,98.1,23.3,142.0,22.0
Rawalpindi,2024-11-05 13:00,531.7200000000001,163.0,102.0,4502.0,108.8,24.0,130.0,22.0
Rawalpindi,2024-11-05 14:00,574.7700000000002,175.6,110.6,4887.0,123.2,24.9,113.0,23.0
Rawalpindi,2024-11-05 15:00,586.8550000000001,183.9,116.6,4985.0,134.6,24.9,98.0,23.0
Rawalpindi,2024-11-05 16:00,556.595,189.1,120.6,4696.0,134.2,23.4,87.0,23.0
Rawalpindi,2024-11-05 17:00,494.225,191.4,122.5,4119.0,121.3,20.9,78.0,23.0
Rawalpindi,2024-11-05 18:00,422.34499999999997,190.0,120.1,3490.0,107.8,18.1,68.0,22.0
Rawalpindi,2024-11-05 19:00,343.8550000000001,185.8,118.0,2814.0,97.5,14.8,57.0,21.0
Rawalpindi,2024-11-05 20:00,260.165,178.8,113.6,2086.0,86.5,12.6,46.0,21.0
Rawalpindi,2024-11-05 21:00,226.99000000000004,176.5,112.5,1766.0,74.7,11.7,36.0,19.0
Rawalpindi,2024-11-05 22:00,207.72000000000003,170.0,108.3,1646.0,59.8,10.3,31.0,16.0
Rawalpindi,2024-11-05 23:00,184.35500000000002,156.5,101.7,1474.0,47.7,8.5,39.0,13.0
Rawalpindi,2024-11-06 00:00,164.335,153.7,98.3,1361.0,49.5,6.0,25.0,16.0
Rawalpindi,2024-11-06 01:00,189.82500000000002,144.8,95.2,1663.0,43.5,6.6,20.0,14.0
Rawalpindi,2024-11-06 02:00,275.14000000000004,138.3,93.1,2463.0,52.2,8.6,22.0,11.0
Rawalpindi,2024-11-06 03:00,325.445,138.8,93.4,2912.0,59.8,11.0,41.0,9.0
Rawalpindi,2024-11-06 04:00,305.535,133.2,90.3,2673.0,51.7,14.3,82.0,8.0
Rawalpindi,2024-11-06 05:00,253.85999999999999,136.4,89.9,2082.0,35.5,18.1,133.0,9.0
Rawalpindi,2024-11-06 06:00,205.805,131.8,87.3,1555.0,22.2,20.5,176.0,9.0
Rawalpindi,2024-11-06 07:00,167.33,119.7,79.2,1151.0,13.8,20.6,193.0,9.0
Rawalpindi,2024-11-06 08:00,134.76,107.6,70.8,810.0,8.3,19.4,208.0,9.0
Rawalpindi,2024-11-06 09:00,130.85000000000002,98.5,64.3,764.0,11.1,18.1,213.0,9.0
Rawalpindi,2024-11-06 10:00,168.25,93.1,60.3,1149.0,26.9,17.1,207.0,8.0
Rawalpindi,2024-11-06 11:00,235.21,89.9,58.4,1830.0,50.9,16.4,189.0,8.0
Rawalpindi,2024-11-06 12:00,317.575,95.0,61.9,2632.0,74.0,15.9,171.0,7.0
Rawalpindi,2024-11-06 13:00,432.94,106.6,70.1,3730.0,95.7,16.2,155.0,7.0
Rawalpindi,2024-11-06 14:00,560.1850000000001,118.3,78.2,4949.0,116.5,18.1,138.0,7.0
Rawalpindi,2024-11-06 15:00,626.78,126.2,84.1,5586.0,128.1,18.9,123.0,7.0
Rawalpindi,2024-11-06 16:00,587.9950000000001,131.8,88.2,5197.0,125.4,17.6,112.0,7.0
Rawalpindi,2024-11-06 17:00,487.6700000000001,135.5,90.8,4226.0,113.6,16.1,104.0,6.0
Rawalpindi,2024-11-06 18:00,390.24000000000007,138.8,92.7,3304.0,106.1,15.2,96.0,6.0
Rawalpindi,2024-11-06 19:00,314.415,137.8,92.2,2611.0,97.9,13.9,87.0,6.0
Rawalpindi,2024-11-06 20:00,242.59500000000008,133.2,89.6,1966.0,85.6,12.4,78.0,6.0
Rawalpindi,2024-11-06 21:00,185.015,132.2,88.9,1459.0,73.5,11.9,70.0,6.0
Rawalpindi,2024-11-06 22:00,169.59500000000003,129.5,86.8,1314.0,62.3,11.5,65.0,6.0
Rawalpindi,2024-11-06 23:00,160.285,125.3,84.3,1277.0,52.7,11.1,61.0,6.0
Sahiwal,2024-11-05 00:00,141.71499999999997,125.7,76.8,834.0,12.8,9.2,61.0,14.0
Sahiwal,2024-11-05 01:00,140.275,129.5,79.4,854.0,12.4,8.6,59.0,13.0
Sahiwal,2024-11-05 02:00,148.055,134.1,83.4,939.0,12.2,8.3,57.0,13.0
Sahiwal,2024-11-05 03:00,152.16000000000003,136.9,85.7,973.0,11.4,9.3,64.0,13.0
Sahiwal,2024-11-05 04:00,146.885,138.8,86.6,898.0,9.3,10.4,86.0,15.0
Sahiwal,2024-11-05 05:00,137.095,138.3,86.4,771.0,6.6,12.6,116.0,19.0
Sahiwal,2024-11-05 06:00,128.94500000000002,135.0,82.7,655.0,4.3,14.8,140.0,22.0
Sahiwal,2024-11-05 07:00,120.79,126.7,74.3,560.0,2.6,15.7,152.0,26.0
Sahiwal,2024-11-05 08:00,112.935,118.0,67.3,476.0,1.6,16.0,158.0,30.0
Sahiwal,2024-11-05 09:00,108.98,114.6,64.7,463.0,1.7,15.9,157.0,33.0
Sahiwal,2024-11-05 10:00,108.475,112.5,63.6,478.0,4.9,15.4,150.0,32.0
Sahiwal,2024-11-05 11:00,109.905,110.8,63.3,509.0,9.6,14.6,139.0,29.0
Sahiwal,2024-11-05 12:00,125.745,139.2,83.6,542.0,11.5,13.6,131.0,28.0
Sahiwal,2024-11-05 13:00,134.325,150.4,91.5,595.0,16.3,13.8,117.0,28.0
Sahiwal,2024-11-05 14:00,140.895,156.0,95.9,656.0,24.4,14.4,100.0,29.0
Sahiwal,2024-11-05 15:00,148.65,170.9,106.4,707.0,29.0,15.1,88.0,28.0
Sahiwal,2024-11-05 16:00,156.745,184.4,115.9,743.0,26.8,15.0,86.0,26.0
Sahiwal,2024-11-05 17:00,161.30999999999997,190.9,121.1,768.0,23.8,14.4,90.0,24.0
Sahiwal,2024-11-05 18:00,160.09500000000003,186.7,118.5,780.0,22.7,13.4,91.0,21.0
Sahiwal,2024-11-05 19:00,154.28000000000003,170.0,108.0,765.0,20.1,12.5,88.0,18.0
Sahiwal,2024-11-05 20:00,153.78500000000003,171.8,107.8,736.0,16.4,12.4,83.0,14.0
Sahiwal,2024-11-05 21:00,155.01000000000002,172.8,108.7,739.0,13.5,12.2,78.0,13.0
Sahiwal,2024-11-05 22:00,159.915,173.2,109.0,793.0,12.1,11.7,72.0,14.0
Sahiwal,2024-11-05 23:00,166.865,173.2,109.0,869.0,11.3,11.1,66.0,17.0
Sahiwal,2024-11-06 00:00,169.63000000000002,163.0,102.0,939.0,10.7,11.1,69.0,21.0
Sahiwal,2024-11-06 01:00,177.74000000000004,165.8,102.7,1014.0,10.8,10.8,62.0,23.0
Sahiwal,2024-11-06 02:00,186.78500000000005,171.8,105.9,1085.0,11.6,10.5,56.0,26.0
Sahiwal,2024-11-06 03:00,191.49,173.7,105.7,1115.0,11.9,11.2,64.0,31.0
Sahiwal,2024-11-06 04:00,184.62,173.7,103.6,1016.0,9.9,14.0,96.0,37.0
Sahiwal,2024-11-06 05:00,171.075,172.8,101.0,842.0,6.7,17.7,139.0,42.0
Sahiwal,2024-11-06 06:00,156.35500000000002,165.8,94.5,696.0,4.1,19.9,170.0,45.0
Sahiwal,2024-11-06 07:00,141.03,147.6,83.4,610.0,2.4,19.0,179.0,43.0
Sahiwal,2024-11-06 08:00,128.645,133.2,75.2,552.0,1.4,16.8,176.0,38.0
Sahiwal,2024-11-06 09:00,121.84500000000001,125.7,71.0,524.0,1.7,15.1,169.0,34.0
Sahiwal,2024-11-06 10:00,120.12,121.1,68.9,534.0,4.4,13.6,158.0,32.0
Sahiwal,2024-11-06 11:00,121.76499999999999,119.0,67.8,573.0,8.8,12.2,141.0,30.0
Sahiwal,2024-11-06 12:00,129.505,127.6,74.3,626.0,14.2,11.8,123.0,29.0
Sahiwal,2024-11-06 13:00,142.005,144.4,85.9,747.0,21.5,12.2,107.0,28.0
Sahiwal,2024-11-06 14:00,161.73999999999998,161.1,98.3,958.0,29.8,13.2,89.0,26.0
Sahiwal,2024-11-06 15:00,183.30000000000004,172.3,106.6,1103.0,36.5,14.1,73.0,25.0
Sahiwal,2024-11-06 16:00,192.03999999999996,179.7,113.6,1134.0,40.6,14.3,61.0,24.0
Sahiwal,2024-11-06 17:00,194.25000000000003,187.7,119.7,1101.0,43.1,15.3,54.0,23.0
Sahiwal,2024-11-06 18:00,193.605,189.1,120.6,1093.0,44.2,15.8,54.0,22.0
Sahiwal,2024-11-06 19:00,185.35500000000005,183.5,119.0,1055.0,46.9,15.6,54.0,21.0
Sahiwal,2024-11-06 20:00,179.66500000000002,183.0,118.7,1037.0,48.8,14.8,56.0,21.0
Sahiwal,2024-11-06 21:00,172.99999999999997,182.1,117.8,1001.0,47.7,13.8,58.0,20.0
Sahiwal,2024-11-06 22:00,162.87,169.0,110.1,937.0,41.2,12.4,61.0,17.0
Sahiwal,2024-11-06 23:00,153.625,148.5,96.9,855.0,31.6,11.0,63.0,15.0
Sargodha,2024-11-05 00:00,218.54500000000002,171.4,108.5,1408.0,17.4,8.1,57.0,14.0
Sargodha,2024-11-05 01:00,222.805,167.6,106.4,1467.0,17.9,8.2,55.0,13.0
Sargodha,2024-11-05 02:00,237.45000000000005,166.7,106.4,1616.0,18.5,8.5,53.0,12.0
Sargodha,2024-11-05 03:00,247.12,166.2,106.4,1703.0,17.8,9.5,61.0,12.0
Sargodha,2024-11-05 04:00,249.18499999999997,169.0,107.3,1680.0,14.8,11.9,89.0,16.0
Sargodha,2024-11-05 05:00,247.975,176.5,110.1,1596.0,10.5,16.4,128.0,24.0
Sargodha,2024-11-05 06:00,237.46500000000003,178.3,109.4,1452.0,7.0,19.8,164.0,31.0
Sargodha,2024-11-05 07:00,210.115,170.9,102.9,1197.0,4.7,20.3,182.0,34.0
Sargodha,2024-11-05 08:00,173.68500000000003,160.7,95.2,883.0,3.1,19.3,190.0,36.0
Sargodha,2024-11-05 09:00,155.82999999999998,159.3,93.6,741.0,3.6,18.1,189.0,35.0
Sargodha,2024-11-05 10:00,156.10999999999999,155.5,91.3,770.0,6.7,16.9,179.0,32.0
Sargodha,2024-11-05 11:00,162.84,153.7,90.6,860.0,11.7,15.5,165.0,29.0
Sargodha,2024-11-05 12:00,190.695,197.4,118.3,994.0,19.7,18.5,162.0,32.0
Sargodha,2024-11-05 13:00,212.945,208.2,125.7,1198.0,24.1,18.6,148.0,32.0
Sargodha,2024-11-05 14:00,240.37000000000003,217.9,133.2,1437.0,30.0,18.8,127.0,32.0
Sargodha,2024-11-05 15:00,258.76000000000005,224.4,138.3,1590.0,34.0,18.7,111.0,31.0
Sargodha,2024-11-05 16:00,266.59999999999997,226.8,142.5,1602.0,34.7,18.4,103.0,30.0
Sargodha,2024-11-05 17:00,289.47,231.4,145.8,1821.0,36.0,17.9,101.0,29.0
Sargodha,2024-11-05 18:00,297.14000000000004,231.4,146.2,1908.0,36.3,17.1,99.0,29.0
Sargodha,2024-11-05 19:00,278.19499999999994,227.7,143.4,1745.0,35.4,15.9,93.0,28.0
Sargodha,2024-11-05 20:00,259.89,226.3,142.5,1575.0,33.5,14.5,86.0,26.0
Sargodha,2024-11-05 21:00,249.11,226.3,142.0,1476.0,31.0,13.9,81.0,24.0
Sargodha,2024-11-05 22:00,236.53,226.3,141.6,1364.0,27.2,13.4,80.0,24.0
Sargodha,2024-11-05 23:00,234.99,226.3,141.6,1446.0,22.9,12.8,80.0,24.0
Sargodha,2024-11-06 00:00,240.25000000000003,203.5,128.5,1520.0,14.1,14.4,93.0,21.0
Sargodha,2024-11-06 01:00,249.43000000000004,206.8,130.9,1617.0,20.2,12.9,81.0,18.0
Sargodha,2024-11-06 02:00,259.24000000000007,217.5,138.3,1706.0,28.2,11.6,66.0,18.0
Sargodha,2024-11-06 03:00,259.15500000000003,222.6,142.0,1687.0,31.3,11.9,66.0,19.0
Sargodha,2024-11-06 04:00,239.30500000000004,219.8,140.2,1468.0,24.7,15.9,95.0,22.0
Sargodha,2024-11-06 05:00,209.07500000000002,218.9,136.4,1141.0,13.3,21.3,138.0,25.0
Sargodha,2024-11-06 06:00,189.20499999999998,210.5,128.1,880.0,5.1,24.4,175.0,28.0
Sargodha,2024-11-06 07:00,173.59000000000003,192.3,115.5,755.0,2.4,22.8,189.0,29.0
Sargodha,2024-11-06 08:00,162.51000000000002,178.8,106.9,697.0,1.6,18.9,190.0,30.0
Sargodha,2024-11-06 09:00,155.69,169.0,100.8,671.0,2.5,15.6,187.0,30.0
Sargodha,2024-11-06 10:00,153.84000000000003,161.6,96.4,691.0,5.6,14.1,178.0,29.0
Sargodha,2024-11-06 11:00,155.775,156.0,93.8,743.0,10.4,13.3,163.0,26.0
Sargodha,2024-11-06 12:00,164.45000000000002,163.0,99.2,845.0,17.5,13.0,146.0,24.0
Sargodha,2024-11-06 13:00,180.865,178.8,109.9,949.0,28.9,13.4,125.0,22.0
Sargodha,2024-11-06 14:00,200.35,198.4,123.4,1085.0,42.5,14.3,102.0,23.0
Sargodha,2024-11-06 15:00,222.59500000000003,215.1,135.5,1207.0,52.7,14.9,83.0,23.0
Sargodha,2024-11-06 16:00,249.10000000000002,221.2,141.6,1437.0,57.2,14.7,74.0,21.0
Sargodha,2024-11-06 17:00,274.84000000000003,223.1,143.0,1691.0,58.3,14.2,69.0,20.0
Sargodha,2024-11-06 18:00,290.62500000000006,222.6,143.0,1856.0,57.5,13.5,65.0,20.0
Sargodha,2024-11-06 19:00,289.525,219.8,141.1,1864.0,55.2,12.7,60.0,20.0
Sargodha,2024-11-06 20:00,279.83,218.4,140.2,1781.0,51.0,11.8,57.0,21.0
Sargodha,2024-11-06 21:00,269.56500000000005,213.7,136.9,1707.0,45.7,11.1,56.0,20.0
Sargodha,2024-11-06 22:00,265.305,204.0,131.3,1712.0,38.4,10.7,61.0,17.0
Sargodha,2024-11-06 23:00,260.95000000000005,196.0,126.2,1711.0,30.0,10.5,69.0,14.0
Sheikhupura,2024-11-05 00:00,298.4200000000001,194.6,122.9,2081.0,21.5,14.7,57.0,17.0
Sheikhupura,2024-11-05 01:00,264.08000000000004,190.5,121.1,1754.0,27.4,14.2,54.0,16.0
Sheikhupura,2024-11-05 02:00,271.73999999999995,191.9,122.9,1944.0,36.6,14.0,51.0,14.0
Sheikhupura,2024-11-05 03:00,299.67499999999995,195.1,125.3,2221.0,40.8,15.3,65.0,13.0
Sheikhupura,2024-11-05 04:00,280.29,200.7,128.1,2000.0,35.3,18.2,103.0,15.0
Sheikhupura,2024-11-05 05:00,239.14000000000001,203.0,127.6,1539.0,24.9,21.8,154.0,19.0
Sheikhupura,2024-11-05 06:00,205.705,200.2,124.8,1145.0,16.3,24.7,193.0,23.0
Sheikhupura,2024-11-05 07:00,188.27,189.5,115.9,927.0,8.8,26.1,212.0,27.0
Sheikhupura,2024-11-05 08:00,167.405,177.4,106.2,732.0,4.0,28.3,220.0,31.0
Sheikhupura,2024-11-05 09:00,160.81500000000003,172.8,102.4,665.0,8.3,29.4,214.0,33.0
Sheikhupura,2024-11-05 10:00,198.66500000000002,170.9,101.3,1047.0,33.9,28.0,204.0,32.0
Sheikhupura,2024-11-05 11:00,259.545,168.1,102.2,1650.0,70.3,25.5,186.0,29.0
Sheikhupura,2024-11-05 12:00,332.69500000000005,217.9,135.5,2180.0,96.9,23.0,167.0,31.0
Sheikhupura,2024-11-05 13:00,375.595,226.8,142.0,2586.0,95.5,22.7,145.0,30.0
Sheikhupura,2024-11-05 14:00,407.46500000000003,234.2,144.4,2918.0,93.3,22.3,113.0,28.0
Sheikhupura,2024-11-05 15:00,416.52500000000003,237.0,147.6,3033.0,89.9,21.6,87.0,26.0
Sheikhupura,2024-11-05 16:00,390.98,233.8,147.1,2808.0,85.5,20.4,73.0,24.0
Sheikhupura,2024-11-05 17:00,343.55,230.0,145.3,2366.0,79.9,19.3,70.0,21.0
Sheikhupura,2024-11-05 18:00,314.83000000000004,224.9,142.5,2089.0,72.5,18.7,68.0,19.0
Sheikhupura,2024-11-05 19:00,280.435,218.9,138.8,1769.0,61.6,17.7,62.0,18.0
Sheikhupura,2024-11-05 20:00,246.115,214.2,136.4,1488.0,48.9,16.5,54.0,18.0
Sheikhupura,2024-11-05 21:00,223.77999999999994,211.9,134.1,1281.0,38.7,15.5,49.0,19.0
Sheikhupura,2024-11-05 22:00,210.72000000000003,211.4,133.2,1165.0,34.7,14.7,44.0,20.0
Sheikhupura,2024-11-05 23:00,202.265,212.3,133.6,1084.0,32.2,14.1,39.0,22.0
Sheikhupura,2024-11-06 00:00,190.66000000000003,192.8,122.9,1049.0,22.3,12.8,52.0,16.0
Sheikhupura,2024-11-06 01:00,223.19000000000003,197.9,126.2,1488.0,31.1,12.0,43.0,16.0
Sheikhupura,2024-11-06 02:00,288.195,210.0,134.6,2091.0,42.9,12.1,35.0,16.0
Sheikhupura,2024-11-06 03:00,326.24000000000007,214.7,138.3,2422.0,48.7,14.1,43.0,19.0
Sheikhupura,2024-11-06 04:00,313.2150000000001,207.2,132.7,2230.0,43.2,18.6,84.0,26.0
Sheikhupura,2024-11-06 05:00,275.49499999999995,204.0,128.1,1765.0,31.8,24.5,143.0,35.0
