Date,District,Final_aqi
2024-10-14,Chakwal,124.687775
2024-10-14,Chiniot,126.75079
2024-10-14,Dera Ghazi Khan,116.638374
2024-10-14,Faisalabad,153.36569
2024-10-14,Gujranwala,116.60035
2024-10-14,Gujrat,114.65112
2024-10-14,Hafizabad,123.87643
2024-10-14,Jhang,135.94696
2024-10-14,Jhelum,90.65127
2024-10-14,Kasur,125.02963
2024-10-14,Khanewal,114.331474
2024-10-14,Khushab,133.7404
2024-10-14,Lahore,122.7181
2024-10-14,Layyah,106.64469
2024-10-14,Lodhran,118.11465
2024-10-14,Mandi Bahuddin,105.97471
2024-10-14,Mianwali,99.4031
2024-10-14,Multan,105.59414
2024-10-14,Muzaffargarh,125.121025
2024-10-14,Nankana Sahib,110.78324
2024-10-14,Narowal,117.840385
2024-10-14,Okara,124.2074
2024-10-14,Pakpattan,106.30371
2024-10-14,Rahim Yar Khan,142.09871
2024-10-14,Rajanpur,101.89048
2024-10-14,Rawalpindi,136.49721
2024-10-14,Sahiwal,108.28796
2024-10-14,Sargodha,131.47328
2024-10-14,Sheikhupura,131.36667
2024-10-14,Sialkot,128.66972
2024-10-14,Toba Tek Singh,111.62121
2024-10-14,Vehari,121.82003
2024-10-15,Attock,124.664925
2024-10-15,Bahawalnagar,204.53148
2024-10-15,Bahawalpur,252.19801
2024-10-15,Bhakkar,106.55341
2024-10-15,Chakwal,122.713646
2024-10-15,Chiniot,133.14742
2024-10-15,Dera Ghazi Khan,116.78183
2024-10-15,Faisalabad,146.83485
2024-10-15,Gujranwala,116.6492
2024-10-15,Gujrat,111.580444
2024-10-15,Hafizabad,126.77064
2024-10-15,Jhang,136.47662
2024-10-15,Jhelum,94.73788
2024-10-15,Kasur,124.470215
2024-10-15,Khanewal,119.29409
2024-10-15,Khushab,133.70505
2024-10-15,Lahore,123.11843
2024-10-15,Layyah,106.91071
2024-10-15,Lodhran,117.729576
2024-10-15,Mandi Bahuddin,106.14474
2024-10-15,Mianwali,99.508354
2024-10-15,Multan,104.32957
2024-10-15,Muzaffargarh,126.315765
2024-10-15,Nankana Sahib,114.755
2024-10-15,Narowal,117.31176
2024-10-15,Okara,119.22042
2024-10-15,Pakpattan,106.752464
2024-10-15,Rahim Yar Khan,140.11827
2024-10-15,Rajanpur,95.06626
2024-10-15,Rawalpindi,137.13521
2024-10-15,Sahiwal,109.74122
2024-10-15,Sargodha,132.34328
2024-10-15,Sheikhupura,132.48372
2024-10-15,Sialkot,127.89854
2024-10-15,Toba Tek Singh,113.423004
2024-10-15,Vehari,125.726006
2024-10-16,Attock,115.26409
2024-10-16,Bahawalnagar,194.0609
2024-10-16,Bahawalpur,222.16875
2024-10-16,Bhakkar,109.0882
2024-10-16,Chakwal,117.20447
2024-10-16,Chiniot,139.94695
2024-10-16,Dera Ghazi Khan,117.99829
2024-10-16,Faisalabad,132.34288
2024-10-16,Gujranwala,117.79095
2024-10-16,Gujrat,106.73972
2024-10-16,Hafizabad,129.10881
2024-10-16,Jhang,136.05016
2024-10-16,Jhelum,98.662224
2024-10-16,Kasur,125.80337
2024-10-16,Khanewal,108.56091
2024-10-16,Khushab,128.6669
2024-10-16,Lahore,143.10199
2024-10-16,Layyah,106.40699
2024-10-16,Lodhran,116.063545
2024-10-16,Mandi Bahuddin,106.58732
2024-10-16,Mianwali,98.47352
2024-10-16,Multan,108.16532
2024-10-16,Muzaffargarh,124.18576
2024-10-16,Nankana Sahib,120.72662
2024-10-16,Narowal,118.21176
2024-10-16,Okara,117.36081
2024-10-16,Pakpattan,108.4869
2024-10-16,Rahim Yar Khan,136.69342
2024-10-16,Rajanpur,86.96115
2024-10-16,Rawalpindi,131.15564
2024-10-16,Sahiwal,115.00159
2024-10-16,Sargodha,130.97185
2024-10-16,Sheikhupura,136.4452
2024-10-16,Sialkot,128.04295
2024-10-16,Toba Tek Singh,114.94526
2024-10-16,Vehari,118.27483
2024-10-17,Attock,112.2046
2024-10-17,Bahawalnagar,195.71275
2024-10-17,Bahawalpur,174.21063
2024-10-17,Bhakkar,103.35977
2024-10-17,Chakwal,113.18723
2024-10-17,Chiniot,146.35423
2024-10-17,Dera Ghazi Khan,115.95106
2024-10-17,Faisalabad,132.5352
2024-10-17,Gujranwala,117.72876
2024-10-17,Gujrat,104.59265
2024-10-17,Hafizabad,129.02394
2024-10-17,Jhang,136.1398
2024-10-17,Jhelum,98.27667
2024-10-17,Kasur,125.487366
2024-10-17,Khanewal,111.27081
2024-10-17,Khushab,121.06434
2024-10-17,Lahore,141.42029
2024-10-17,Layyah,106.18122
2024-10-17,Lodhran,115.99997
2024-10-17,Mandi Bahuddin,106.47345
2024-10-17,Mianwali,97.52203
2024-10-17,Multan,109.9522
2024-10-17,Muzaffargarh,118.82428
2024-10-17,Nankana Sahib,121.13651
2024-10-17,Narowal,117.12579
2024-10-17,Okara,117.71104
2024-10-17,Pakpattan,108.53827
2024-10-17,Rahim Yar Khan,121.51666
2024-10-17,Rajanpur,87.44752
