date,hour,District,AQI
11/7/2024,13:00,Bahawalpur,141.58
11/7/2024,13:00,Bhakkar,162.205
11/7/2024,13:00,Chakwal,190.795
11/7/2024,13:00,Chiniot,242.235
11/7/2024,13:00,Dera Ghazi Khan,209.015
11/7/2024,13:00,Faisalabad,263.75
11/7/2024,13:00,Gujranwala,248.915
11/7/2024,13:00,Gujrat,195.12
11/7/2024,13:00,Hafizabad,247.745
11/7/2024,13:00,Jhang,182.49
11/7/2024,13:00,Jhelum,192.3
11/7/2024,13:00,Kasur,218.04
11/7/2024,13:00,Khanewal,144.53
11/7/2024,13:00,Khushab,186.935
11/7/2024,13:00,Lahore,591.435
11/7/2024,13:00,Layyah,180.455
11/7/2024,13:00,Lodhran,129.525
11/7/2024,13:00,Mandi Bahuddin,240.295
11/7/2024,13:00,Mianwali,169.565
11/7/2024,13:00,Multan,171.275
11/7/2024,13:00,Muzaffargarh,175.245
11/7/2024,13:00,Nankana Sahib,200.125
11/7/2024,13:00,Narowal,212.505
11/7/2024,13:00,Okara,173.825
11/7/2024,13:00,Pakpattan,158.305
11/7/2024,13:00,Rahim Yar Khan,103.74
11/7/2024,13:00,Rajanpur,148.16
11/7/2024,13:00,Rawalpindi,480.775
11/7/2024,13:00,Sahiwal,151.23
11/7/2024,13:00,Sargodha,232.7
11/7/2024,13:00,Sheikhupura,394.835
11/7/2024,13:00,Sialkot,230.255
11/7/2024,13:00,Toba Tek Singh,164.455
11/7/2024,13:00,Vehari,147.885
11/7/2024,14:00,Attock,335.83
11/7/2024,14:00,Bahawalnagar,154.81
11/7/2024,14:00,Bahawalpur,169.7
11/7/2024,14:00,Bhakkar,174.735
11/7/2024,14:00,Chakwal,197.22
11/7/2024,14:00,Chiniot,276.995
11/7/2024,14:00,Dera Ghazi Khan,235.81
11/7/2024,14:00,Faisalabad,273.91
11/7/2024,14:00,Gujranwala,268.435
11/7/2024,14:00,Gujrat,210.97
11/7/2024,14:00,Hafizabad,258.895
11/7/2024,14:00,Jhang,187.83
11/7/2024,14:00,Jhelum,213.465
11/7/2024,14:00,Kasur,243.365
11/7/2024,14:00,Khanewal,172.61
11/7/2024,14:00,Khushab,197.5
11/7/2024,14:00,Lahore,765.08
11/7/2024,14:00,Layyah,195.875
11/7/2024,14:00,Lodhran,164.43
11/7/2024,14:00,Mandi Bahuddin,257.31
11/7/2024,14:00,Mianwali,177.385
11/7/2024,14:00,Multan,190.395
11/7/2024,14:00,Muzaffargarh,202.61
11/7/2024,14:00,Nankana Sahib,197.735
11/7/2024,14:00,Narowal,232.91
11/7/2024,14:00,Okara,181.435
11/7/2024,14:00,Pakpattan,160.78
