Date,Date,Final_aqi
45252,11/22/2023,205.0947917
45253,11/23/2023,196.6525
45254,11/24/2023,147.569375
45255,11/25/2023,225.9620833
45256,11/26/2023,235.1595833
45257,11/27/2023,205.6020833
45258,11/28/2023,212.1547917
45259,11/29/2023,155.52125
45260,11/30/2023,131.1416667
45261,12/1/2023,116.8558333
45262,12/2/2023,151.658125
45263,12/3/2023,142.0425
45264,12/4/2023,179.1110417
45265,12/5/2023,190.4797917
45266,12/6/2023,200.5754167
45267,12/7/2023,214.9229167
45268,12/8/2023,226.8508333
45269,12/9/2023,206.9454167
45270,12/10/2023,166
45271,12/11/2023,244.046875
45272,12/12/2023,266.0285417
45273,12/13/2023,233.1414583
45274,12/14/2023,238.9420833
45275,12/15/2023,285.5004167
45276,12/16/2023,234.5677083
45277,12/17/2023,170.9870833
45278,12/18/2023,164.0510417
45279,12/19/2023,183.374375
45280,12/20/2023,223.464375
45281,12/21/2023,225.1279167
45282,12/22/2023,239.0114583
45283,12/23/2023,206.5910417
45284,12/24/2023,201.1383333
45285,12/25/2023,260.735625
45286,12/26/2023,301.4620833
45287,12/27/2023,217.8735417
45288,12/28/2023,261.2779167
45289,12/29/2023,314.3977083
45290,12/30/2023,315.3310417
45291,12/31/2023,335.64125
45292,1/1/2024,296.7689583
45293,1/2/2024,305.7647917
45294,1/3/2024,316.2689583
45295,1/4/2024,353.6970833
45296,1/5/2024,353.4289583
45297,1/6/2024,345.461875
45298,1/7/2024,351.0664583
45299,1/8/2024,349.0302083
45300,1/9/2024,298.8566667
45301,1/10/2024,254.2595833
45302,1/11/2024,286.68625
45303,1/12/2024,367.62625
45304,1/13/2024,321.203125
45305,1/14/2024,347.1366667
45306,1/15/2024,348.2720833
45307,1/16/2024,366.5364583
45308,1/17/2024,373.6316667
45309,1/18/2024,365.1385417
45310,1/19/2024,339.3066667
45311,1/20/2024,346.575625
45312,1/21/2024,364.7329167
45313,1/22/2024,308.6008333
45314,1/23/2024,324.5122917
45315,1/24/2024,316.39875
45316,1/25/2024,307.345
45317,1/26/2024,184.8185417
45318,1/27/2024,177.825625
45319,1/28/2024,153.635625
45320,1/29/2024,166.9464583
45321,1/30/2024,140.3247917
45322,1/31/2024,100.6585417
45323,2/1/2024,159.3254167
45324,2/2/2024,119.9508333
45325,2/3/2024,118.8202083
45326,2/4/2024,184.2008333
45327,2/5/2024,170.83
45328,2/6/2024,151.58
45329,2/7/2024,119.5883333
45330,2/8/2024,125.7183333
45331,2/9/2024,201.174375
45332,2/10/2024,189.2629167
45333,2/11/2024,187.3641667
45334,2/12/2024,213.3775
45335,2/13/2024,141.9883333
45336,2/14/2024,146.18125
45337,2/15/2024,199.7452083
45338,2/16/2024,212.8889583
45339,2/17/2024,192.4958333
45340,2/18/2024,118.0314583
45341,2/19/2024,113.4902083
45342,2/20/2024,109.16125
45343,2/21/2024,133.9104167
45344,2/22/2024,123.3541667
45345,2/23/2024,121.68
45346,2/24/2024,125.17875
45347,2/25/2024,107.63
45348,2/26/2024,92.03708333
45349,2/27/2024,90.70916667
45350,2/28/2024,100.3058333
45351,2/29/2024,102.1220833
45352,3/1/2024,98.35395833
45353,3/2/2024,71.550625
45354,3/3/2024,74.1975
45355,3/4/2024,94.12604167
45356,3/5/2024,117.3370833
45357,3/6/2024,147.6072917
45358,3/7/2024,130.5985417
45359,3/8/2024,91.92708333
45360,3/9/2024,98.32916667
45361,3/10/2024,166.446875
45362,3/11/2024,126.9760417
45363,3/12/2024,128.8097917
45364,3/13/2024,107.3558333
45365,3/14/2024,91.21541667
45366,3/15/2024,108.185
45367,3/16/2024,97.12333333
45368,3/17/2024,96.16666667
45369,3/18/2024,117.2010417
45370,3/19/2024,110.5322917
45371,3/20/2024,97.03833333
45372,3/21/2024,97.27354167
45373,3/22/2024,111.0445833
45374,3/23/2024,88.86979167
45375,3/24/2024,125.4566667
45376,3/25/2024,95.72395833
45377,3/26/2024,74.31333333
45378,3/27/2024,76.97833333
45379,3/28/2024,104.2027083
45380,3/29/2024,66.10770833
45381,3/30/2024,78.1125
45382,3/31/2024,79.88145833
45383,4/1/2024,94.43979167
45384,4/2/2024,83.80708333
45385,4/3/2024,76.575
45386,4/4/2024,74.26604167
45387,4/5/2024,85.455
45388,4/6/2024,78.05583333
45389,4/7/2024,80.73166667
45390,4/8/2024,92.75291667
45391,4/9/2024,81.84104167
45392,4/10/2024,78.23583333
45393,4/11/2024,82.07770833
45394,4/12/2024,80.86208333
45395,4/13/2024,90.46479167
45396,4/14/2024,103.3870833
45397,4/15/2024,81.91854167
45398,4/16/2024,76.70583333
45399,4/17/2024,134.6739583
45400,4/18/2024,73.66041667
45401,4/19/2024,72.69770833
45402,4/20/2024,83.09354167
45403,4/21/2024,99.30604167
45404,4/22/2024,126.0183333
45405,4/23/2024,113.3770833
45406,4/24/2024,108.9016667
45407,4/25/2024,83.28895833
45408,4/26/2024,70.39104167
45409,4/27/2024,73.576875
45410,4/28/2024,64.56395833
45411,4/29/2024,69.93625
45412,4/30/2024,71.99166667
45413,5/1/2024,97.24458333
45414,5/2/2024,98.049375
45415,5/3/2024,97.19020833
45416,5/4/2024,83.34645833
45417,5/5/2024,91.315
45418,5/6/2024,89.059375
45419,5/7/2024,93.43916667
45420,5/8/2024,108.9733333
45421,5/9/2024,107.48125
45422,5/10/2024,84.57333333
45423,5/11/2024,89.9475
45424,5/12/2024,90.59791667
45425,5/13/2024,73.42041667
45426,5/14/2024,76.25916667
45427,5/15/2024,79.91979167
45428,5/16/2024,82.33541667
45429,5/17/2024,80.028125
45430,5/18/2024,81.12625
45431,5/19/2024,69.270625
45432,5/20/2024,66.21104167
